company,ticker,folder_name,annual_report_pdf_path,official_source_status,market_data_source,peer_data_source,verification_notes
Hero MotoCorp,HEROMOTOCO.NS,hero_motocorp,data/annual_reports/hero_motocorp_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Hero source map is partial; exact page mapping still required
Fiem Industries,FIEMIND.NS,fiem_industries,data/annual_reports/fiem_industries_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Triveni Turbine,TRITURBINE.NS,triveni_turbine,data/annual_reports/triveni_turbine_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
NALCO,NATIONALUM.NS,nalco,data/annual_reports/nalco_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Sharda Cropchem,SHARDACROP.NS,sharda_cropchem,data/annual_reports/sharda_cropchem_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Time Technoplast,TIMETECHNO.NS,time_technoplast,data/annual_reports/time_technoplast_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Bharat Electronics,BEL.NS,bharat_electronics,data/annual_reports/bharat_electronics_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Polycab India,POLYCAB.NS,polycab_india,data/annual_reports/polycab_india_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
SJS Enterprises,SJS.NS,sjs_enterprises,data/annual_reports/sjs_enterprises_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
Shilchar Technologies,SHILCTECH.NS,shilchar_technologies,data/annual_reports/shilchar_technologies_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,jb_chemicals_pharmaceuticals,data/annual_reports/jb_chemicals_pharmaceuticals_fy2025.pdf,Official PDF still requires direct confirmation,Manual or market-data provider,TBD,Source map initialized but official PDF link must be confirmed
Gravita India,GRAVITA.NS,gravita_india,data/annual_reports/gravita_india_fy2025.pdf,Identified but PDF must be saved locally for automated page scan,Manual or market-data provider,TBD,Source map initialized
