company,ticker,market_cap_inr_cr,yahoo_ev_inr_cr,yahoo_implied_net_debt_inr_cr,annual_report_cash_debt_status,recommended_ev_for_final_model,ev_bridge_status,notes
Hero MotoCorp,HEROMOTOCO.NS,102245.87,92076.49,-10169.38,Large cash/investment balance visible but exact annual-report note lock pending,Use manual EV after cash investments and borrowings notes are locked,Pending final note lock,Yahoo EV implies net cash of Rs 10169.38 crore; annual-report cash flow shows cash equivalents and investment transactions but full cash/investment note needs final lock
Fiem Industries,FIEMIND.NS,5728.47,5534.64,-193.83,Low EV sensitivity relative to market cap,Yahoo EV acceptable for draft; verify final borrowings/cash notes,Low priority,Yahoo EV implies net cash of Rs 193.83 crore; operating valuation not highly sensitive to bridge
Triveni Turbine,TRITURBINE.NS,18240.81,17312.52,-928.29,Net cash/debt note pending,Use manual EV after current investments and debt notes are locked,Medium priority,Yahoo EV implies net cash of Rs 928.29 crore; cash/investment definition can affect valuation
NALCO,NATIONALUM.NS,72611.24,65445.97,-7165.27,Cash/investments likely material; exact annual-report note lock pending,Use manual EV after cash investments and borrowings notes are locked,High priority,Yahoo EV implies net cash of Rs 7165.27 crore; commodity valuation is materially affected by net cash
Sharda Cropchem,SHARDACROP.NS,9680.66,8897.61,-783.05,Zero debt / balance-sheet cash candidate but exact notes pending,Use manual EV after cash/debt notes are locked,Medium priority,Yahoo EV implies net cash of Rs 783.05 crore
Time Technoplast,TIMETECHNO.NS,9588.87,9328.2,-260.67,Debt and cash notes pending,Use manual EV after borrowings and cash notes are locked,Medium priority,Yahoo EV implies net cash of Rs 260.67 crore; check because business historically used leverage
Bharat Electronics,BEL.NS,315636.24,307267.71,-8368.53,Debt-equity nil; cash/investments material,Use manual EV after cash/investment notes are locked,High priority,Yahoo EV implies net cash of Rs 8368.53 crore; BEL cash and deposits can materially affect EV
Polycab India,POLYCAB.NS,121772.78,119304.67,-2468.11,Annual-report net cash and borrowings substantially mapped,Use manual EV from annual-report net cash after deciding treatment of acceptances/cash credit,High priority,Yahoo EV implies net cash of Rs 2468.11 crore; annual report discloses net cash Rs 24572 million and borrowings/acceptances considerations
SJS Enterprises,SJS.NS,5805.5,5615.33,-190.17,Net cash disclosed as Rs 992 million; debt-equity low,Use annual-report net cash for final model after note lock,Low priority,Yahoo EV implies net cash of Rs 190.17 crore; company reports Rs 992 million net cash in overview
Shilchar Technologies,SHILCTECH.NS,5917.21,5730.65,-186.56,Debt-free balance sheet and net cash reserves candidate,Use annual-report net cash after cash note lock,Low priority,Yahoo EV implies net cash of Rs 186.56 crore; management letter indicates debt-free balance sheet and net cash reserves around Rs 91 crore
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,32911.32,31463.26,-1448.06,Annual-report cash/current investments/borrowings mapped,Use manual EV = market cap + borrowings - cash - current investments,High priority,Yahoo EV implies net cash of Rs 1448.06 crore; annual-report cash plus current investments minus borrowings should replace earlier proxy
Gravita India,GRAVITA.NS,11849.84,11466.44,-383.4,Net debt-free status disclosed; gross cash/debt notes pending,Use annual-report net debt/cash bridge after note lock,Medium priority,Yahoo EV implies net cash of Rs 383.40 crore; QIP changed balance-sheet structure materially
