component,value,unit,formula_or_source,notes
Risk-free rate,6.98,percent,India 10-year government bond yield proxy,Valuation-date market input proxy
Beta,0.75,x,Analyst/public-market proxy,Used for high-quality net-cash capital-goods company
Equity risk premium,7.00,percent,India ERP assumption / 2026 country-risk estimate,Documented assumption for India equity risk
Company-specific risk premium,0.75,percent,Analyst assumption,Reflects order-book execution and valuation risk
Cost of equity,12.98,percent,Rf + beta * ERP + CSRP,6.98% + 0.75*7.00% + 0.75%
Pre-tax cost of debt,0.00,percent,Debt-light / net-cash approximation,Debt not material
Effective tax rate,26.60,percent,Tax / PBT,130.0 / 488.6
After-tax cost of debt,0.00,percent,Not meaningful for net-cash company,Debt not material
Equity weight,100.00,percent,Net-cash company approximation,WACC approximated to cost of equity
Debt weight,0.00,percent,Net-cash company approximation,Debt not material
WACC used,13.00,percent,Rounded model WACC,Used in Level 2 draft valuation
