company,ticker,market_data_date,share_price,market_cap_inr_cr,yahoo_enterprise_value_inr_cr,implied_yahoo_net_debt_inr_cr,yahoo_beta,recommended_normalized_beta,india_10y_gsec_rate_used_pct,equity_risk_premium_pct,company_specific_risk_premium_pct,normalized_cost_of_equity_pct,review_note,final_use_status
Hero MotoCorp,HEROMOTOCO.NS,2026-05-02 01:31 UTC,5099.0,102245.87,92076.49,-10169.38,0.638,0.65,7.01,7.0,1.0,12.56,"Keep close to Yahoo beta; mature auto OEM, large liquid company",Draft sensitivity only; manually verify before SSRN upload
Fiem Industries,FIEMIND.NS,2026-05-02 01:31 UTC,2182.7,5728.47,5534.64,-193.83,0.483,0.75,7.01,7.0,1.5,13.76,Normalize upward for smaller auto-component cyclicality,Draft sensitivity only; manually verify before SSRN upload
Triveni Turbine,TRITURBINE.NS,2026-05-02 01:31 UTC,573.25,18240.81,17312.52,-928.29,0.149,0.85,7.01,7.0,1.25,14.21,Yahoo beta too low for capital-goods/order-cycle risk,Draft sensitivity only; manually verify before SSRN upload
NALCO,NATIONALUM.NS,2026-05-02 01:31 UTC,399.3,72611.24,65445.97,-7165.27,0.715,1.1,7.01,7.0,2.0,16.71,Commodity PSU; use higher cyclicality beta and CSRP,Draft sensitivity only; manually verify before SSRN upload
Sharda Cropchem,SHARDACROP.NS,2026-05-02 01:31 UTC,1072.75,9680.66,8897.61,-783.05,0.6,0.8,7.01,7.0,2.0,14.61,Working-capital and agrochemical cycle risk,Draft sensitivity only; manually verify before SSRN upload
Time Technoplast,TIMETECHNO.NS,2026-05-02 01:31 UTC,193.01,9588.87,9328.2,-260.67,0.287,0.85,7.01,7.0,1.75,14.71,Industrial packaging and debt/cash conversion risk,Draft sensitivity only; manually verify before SSRN upload
Bharat Electronics,BEL.NS,2026-05-02 01:31 UTC,431.3,315636.24,307267.71,-8368.53,0.313,0.75,7.01,7.0,1.0,13.26,Defence PSU with order-book stability but execution risk,Draft sensitivity only; manually verify before SSRN upload
Polycab India,POLYCAB.NS,2026-05-02 01:31 UTC,8110.5,121772.78,119304.67,-2468.11,0.548,0.8,7.01,7.0,1.0,13.61,Quality compounder; moderate systematic risk,Draft sensitivity only; manually verify before SSRN upload
SJS Enterprises,SJS.NS,2026-05-02 01:31 UTC,1808.8,5805.5,5615.33,-190.17,0.301,0.8,7.01,7.0,1.5,14.11,Small/mid auto ancillary premiumization risk,Draft sensitivity only; manually verify before SSRN upload
Shilchar Technologies,SHILCTECH.NS,2026-05-02 01:31 UTC,5160.6,5917.21,5730.65,-186.56,-0.533,0.95,7.01,7.0,2.0,15.66,Negative Yahoo beta unsuitable; normalize for high-growth small industrial risk,Draft sensitivity only; manually verify before SSRN upload
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,2026-05-02 01:31 UTC,2043.4,32911.32,31463.26,-1448.06,-0.003,0.65,7.01,7.0,1.0,12.56,Near-zero Yahoo beta unsuitable; normalize for defensive pharma,Draft sensitivity only; manually verify before SSRN upload
Gravita India,GRAVITA.NS,2026-05-02 01:31 UTC,1630.0,11849.84,11466.44,-383.4,0.172,1.05,7.01,7.0,1.75,16.11,Very low Yahoo beta unsuitable; normalize for commodity-linked recycling risk,Draft sensitivity only; manually verify before SSRN upload
