metric,value,notes
Simulations used,10000,Level 2 draft simulation count
Mean fair value per share,296.30,Average simulated value using working-capital-sensitive public-source inputs
Median fair value per share,293.08,Central simulated value
5th percentile fair value per share,131.59,Severe downside valuation estimate
25th percentile fair value per share,226.42,Conservative valuation estimate
75th percentile fair value per share,363.88,Upside valuation estimate
95th percentile fair value per share,469.93,Strong upside valuation estimate
Market price used,1033.20,Delayed public market price proxy used for comparison
Probability value above market price,0.00%,Share of simulations above market price
Probability value below market price,100.00%,Share of simulations below market price
Median margin of safety,-71.63%,Median simulated value divided by market price minus one
Simulation status,Level 2 final draft,Uses working-capital-sensitive agrochemical assumptions; not investment advice
