metric,value,notes
Simulations used,10000,Level 2 draft simulation count
Mean fair value per share,191.95,Average simulated value using normalized mid-cycle public-source inputs
Median fair value per share,189.06,Central simulated value
5th percentile fair value per share,143.33,Severe downside valuation estimate
25th percentile fair value per share,169.00,Conservative valuation estimate
75th percentile fair value per share,211.65,Upside valuation estimate
95th percentile fair value per share,250.07,Strong upside valuation estimate
Market price used,423.90,Delayed public market price proxy used for comparison
Probability value above market price,0.00%,Share of simulations above market price
Probability value below market price,100.00%,Share of simulations below market price
Median margin of safety,-55.40%,Median simulated value divided by market price minus one
Simulation status,Level 2 final draft,Uses mid-cycle normalization; not investment advice
