peer_company,peer_ticker,yahoo_ticker
Bajaj Auto,BAJAJ-AUTO,BAJAJ-AUTO.NS
TVS Motor,TVSMOTOR,TVSMOTOR.NS
Eicher Motors,EICHERMOT,EICHERMOT.NS
Lumax Industries,LUMAXIND,LUMAXIND.NS
Uno Minda,UNOMINDA,UNOMINDA.NS
Minda Corporation,MINDACORP,MINDACORP.NS
Pricol,PRICOLLTD,PRICOLLTD.NS
Thermax,THERMAX,THERMAX.NS
TD Power Systems,TDPOWERSYS,TDPOWERSYS.NS
Siemens India,SIEMENS,SIEMENS.NS
ABB India,ABB,ABB.NS
Hindalco,HINDALCO,HINDALCO.NS
Vedanta,VEDL,VEDL.NS
Hindustan Zinc,HINDZINC,HINDZINC.NS
NMDC,NMDC,NMDC.NS
PI Industries,PIIND,PIIND.NS
Dhanuka Agritech,DHANUKA,DHANUKA.NS
Rallis India,RALLIS,RALLIS.NS
Bharat Rasayan,BHARATRAS,BHARATRAS.NS
Mold-Tek Packaging,MOLDTKPAC,MOLDTKPAC.NS
Supreme Industries,SUPREMEIND,SUPREMEIND.NS
Nilkamal,NILKAMAL,NILKAMAL.NS
TPL Plastech,TPLPLASTEH,TPLPLASTEH.NS
Hindustan Aeronautics,HAL,HAL.NS
Bharat Dynamics,BDL,BDL.NS
Data Patterns,DATAPATTNS,DATAPATTNS.NS
Astra Microwave,ASTRAMICRO,ASTRAMICRO.NS
KEI Industries,KEI,KEI.NS
RR Kabel,RRKABEL,RRKABEL.NS
Finolex Cables,FINCABLES,FINCABLES.NS
Havells India,HAVELLS,HAVELLS.NS
Lumax Auto Technologies,LUMAXTECH,LUMAXTECH.NS
Suprajit Engineering,SUPRAJIT,SUPRAJIT.NS
Transformers and Rectifiers,TARIL,TARIL.NS
Voltamp Transformers,VOLTAMP,VOLTAMP.NS
Bharat Bijlee,BBL,BBL.NS
Torrent Pharma,TORNTPHARM,TORNTPHARM.NS
Alkem Laboratories,ALKEM,ALKEM.NS
Ajanta Pharma,AJANTPHARM,AJANTPHARM.NS
Eris Lifesciences,ERIS,ERIS.NS
Pondy Oxides,POCL,POCL.NS
