metric,value,notes
Simulations used,10000,Level 2 draft simulation count
Mean fair value per share,266.84,Average simulated value using recycling / commodity-linked industrial assumptions
Median fair value per share,263.91,Central simulated value
5th percentile fair value per share,181.74,Severe downside valuation estimate
25th percentile fair value per share,228.36,Conservative valuation estimate
75th percentile fair value per share,301.88,Upside valuation estimate
95th percentile fair value per share,374.52,Strong upside valuation estimate
Market price used,1626.90,Delayed public market price proxy used for comparison
Probability value above market price,0.00%,Share of simulations above market price
Probability value below market price,100.00%,Share of simulations below market price
Median margin of safety,-83.78%,Median simulated value divided by market price minus one
Simulation status,Level 2 final draft,Uses recycling / commodity-linked industrial assumptions; not investment advice
