variable,base_case,bear_case,bull_case,distribution_type,notes
starting_revenue,2405.6,,,fixed,Preliminary FY2025 revenue in INR crore; verify later
revenue_growth,0.10,0.06,0.14,triangular,Initial growth range for auto-component business
EBIT_margin,0.1155,0.095,0.135,triangular,Initial operating margin range; verify with audited data
Tax_rate,0.258,0.24,0.28,triangular,Normalized tax rate placeholder
Depreciation_sales,0.0262,0.022,0.030,triangular,Placeholder depreciation as percentage of sales
Capex_sales,0.04,0.030,0.055,triangular,Placeholder capex intensity
NWC_sales,0.12,0.09,0.16,triangular,Placeholder net working capital intensity
WACC,0.1513,0.1393,0.1633,normal,Placeholder from previous framework; beta regression refinement pending
Terminal_growth,0.04,0.03,0.05,uniform,Conservative long-term growth range
Net_debt,-276.2,,,fixed,Preliminary net cash assumption; verify later
Shares_outstanding,26.32,,,fixed,Preliminary shares in crore; verify later
