company,ticker,peer_bucket,peer_table_status,recommended_peer_source_policy,next_action
Hero MotoCorp,HEROMOTOCO.NS,Two-wheeler / auto OEM,Template ready; numerical values pending,"Use one consistent source/date for Bajaj Auto, TVS Motor, Eicher Motors and listed auto OEM peers",Populate EV/Sales EV/EBITDA PE PB ROE ROCE with source/date
Fiem Industries,FIEMIND.NS,Auto components / lighting,Template ready; numerical values pending,"Use one consistent source/date for Lumax, Uno Minda, Minda Corp, Pricol and relevant lighting/electronics peers",Populate peer multiple table
Triveni Turbine,TRITURBINE.NS,Capital goods / turbines,Template ready; numerical values pending,"Use one consistent source/date for Thermax, TD Power Systems, Siemens India, ABB India",Populate peer multiple table
NALCO,NATIONALUM.NS,Aluminium / commodity metals,Template ready; numerical values pending,"Use one consistent source/date for Hindalco, Vedanta, Hindustan Zinc, NMDC where comparable",Populate peer multiple table and note commodity-cycle limitations
Sharda Cropchem,SHARDACROP.NS,Agrochemicals / asset-light registrations,Template ready; numerical values pending,"Use one consistent source/date for PI Industries, Dhanuka, Rallis, Bharat Rasayan and selected agrochem peers",Populate peer multiple table
Time Technoplast,TIMETECHNO.NS,Industrial packaging / polymers,Template ready; numerical values pending,"Use one consistent source/date for Mold-Tek Packaging, Supreme, Nilkamal, TPL Plastech",Populate peer multiple table
Bharat Electronics,BEL.NS,Defence electronics / PSU defence,Template ready; numerical values pending,"Use one consistent source/date for HAL, Bharat Dynamics, Data Patterns, Astra Microwave and defence electronics peers",Populate peer multiple table and note PSU/order-book premium
Polycab India,POLYCAB.NS,Cables and electricals,Template ready; numerical values pending,"Use one consistent source/date for KEI, RR Kabel, Finolex Cables, Havells and electrical peers",Populate peer multiple table
SJS Enterprises,SJS.NS,Auto ancillary / decorative aesthetics,Template ready; numerical values pending,"Use one consistent source/date for Uno Minda, Minda Corp, Lumax Auto Technologies, Suprajit and decor/aesthetics peers",Populate peer multiple table
Shilchar Technologies,SHILCTECH.NS,Transformers / electrical capital goods,Template ready; numerical values pending,"Use one consistent source/date for Transformers and Rectifiers, Voltamp, Bharat Bijlee, TD Power Systems",Populate peer multiple table
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,Branded formulations / pharma,Template ready; numerical values pending,"Use one consistent source/date for Torrent, Alkem, Ajanta, Eris and branded formulations peers",Populate peer multiple table
Gravita India,GRAVITA.NS,Recycling / non-ferrous metals,Template ready; numerical values pending,"Use one consistent source/date for Pondy Oxides, Hindalco, Vedanta, Hindustan Zinc and recycling/metals peers",Populate peer multiple table and note mixed commodity/recycling exposure
