component,value,unit,formula_or_source,notes
Risk-free rate,6.98,percent,India 10-year government bond yield,Valuation-date market input proxy
Beta,0.64,x,Public 5-year beta statistic,Beta regression should be replicated later for SSRN appendix
Equity risk premium,7.00,percent,India ERP assumption / 2026 country-risk estimate,Documented assumption for India equity risk
Company-specific risk premium,1.00,percent,Analyst assumption,Reflects auto-cycle EV transition and execution uncertainty
Cost of equity,12.46,percent,Rf + beta * ERP + CSRP,6.98% + 0.64*7.00% + 1.00%
Pre-tax cost of debt,9.83,percent,Finance cost / debt proxy,70.65 / 718.0
Effective tax rate,26.25,percent,Tax / PBT,1557.75 / 5933.56
After-tax cost of debt,7.25,percent,Pre-tax cost of debt * (1-tax rate),Used only if debt weight is material
Equity weight,100.00,percent,Net-cash company approximation,WACC approximated to cost of equity
Debt weight,0.00,percent,Net-cash company approximation,Debt not material for WACC weight in this model
WACC used,12.46,percent,Cost of equity approximation,Used in final Level 2 draft valuation
