metric,value,notes
Simulations used,10000,Level 2 draft simulation count
Mean fair value per share,1242.86,Average simulated value using high-ROCE transformer-manufacturing assumptions
Median fair value per share,1232.69,Central simulated value
5th percentile fair value per share,929.18,Severe downside valuation estimate
25th percentile fair value per share,1100.02,Conservative valuation estimate
75th percentile fair value per share,1374.12,Upside valuation estimate
95th percentile fair value per share,1584.69,Strong upside valuation estimate
Market price used,4774.30,Delayed public market price proxy used for comparison
Probability value above market price,0.00%,Share of simulations above market price
Probability value below market price,100.00%,Share of simulations below market price
Median margin of safety,-74.18%,Median simulated value divided by market price minus one
Simulation status,Level 2 final draft,Uses high-ROCE industrial growth / transformer manufacturing assumptions; not investment advice
