metric,value,notes
Simulations used,10000,Level 2 draft simulation count
Mean fair value per share,185.08,Average simulated value using Level 2 draft public-source inputs
Median fair value per share,181.32,Central simulated value
5th percentile fair value per share,140.44,Severe downside valuation estimate
25th percentile fair value per share,163.12,Conservative valuation estimate
75th percentile fair value per share,203.32,Upside valuation estimate
95th percentile fair value per share,241.66,Strong upside valuation estimate
Market price used,573.80,Delayed public market price used for comparison
Probability value above market price,0.00%,Share of simulations above market price
Probability value below market price,100.00%,Share of simulations below market price
Median margin of safety,-68.40%,Median simulated value divided by market price minus one
Simulation status,Level 2 final draft,Not investment advice; formal citation appendix can be improved during SSRN drafting
